S.no,Item Name,Category Name,Menu,Qty,Gross Sales,Net Sales,Taxes,Orders,% Sales,Order Source
146,Thatchers 0.0,Alcohol-Free Beers and Ciders 0Percent,DRINKS MENU,2,£9.30,£9.30,£0.00,1,0.06%,All
147,Gordons,Gin,DRINKS MENU,1,£7.50,£7.50,£0.00,1,0.05%,All
148,Tanqueray,Gin,DRINKS MENU,2,£17.00,£17.00,£0.00,1,0.12%,All
149,Smirnoff,Vodka,DRINKS MENU,4,£21.00,£21.00,£0.00,4,0.15%,All
150,Absolut,Vodka,DRINKS MENU,6,£33.00,£33.00,£0.00,4,0.23%,All
151,Grey Goose,Vodka,DRINKS MENU,5,£50.00,£50.00,£0.00,4,0.35%,All
152,Jameson,Whisky,DRINKS MENU,3,£20.00,£20.00,£0.00,2,0.14%,All
153,Jack Daniels,Whisky,DRINKS MENU,2,£17.00,£17.00,£0.00,1,0.12%,All
154,Johnnie Walker Double Black,Whisky,DRINKS MENU,1,£11.00,£11.00,£0.00,1,0.08%,All
155,Bacardi - White,Rum,DRINKS MENU,1,£7.50,£7.50,£0.00,1,0.05%,All
156,Dead Mans Fingers,Rum,DRINKS MENU,1,£5.50,£5.50,£0.00,1,0.04%,All
157,Lambs Navy,Rum,DRINKS MENU,1,£5.00,£5.00,£0.00,1,0.03%,All
158,Jose Cuervo Especial,Tequila,DRINKS MENU,4,£20.00,£20.00,£0.00,2,0.14%,All
159,Pepsi,Soft Drinks,DRINKS MENU,35,£100.17,£100.17,£0.00,23,0.70%,All
160,Pepsi Max,Soft Drinks,DRINKS MENU,97,£285.56,£285.56,£0.00,54,1.99%,All
161,R Whites Lemonade,Soft Drinks,DRINKS MENU,51,£147.37,£147.37,£0.00,37,1.03%,All
162,Indian Tonic,Soft Drinks,DRINKS MENU,2,£5.90,£5.90,£0.00,2,0.04%,All
163,Raspberry Tonic,Soft Drinks,DRINKS MENU,5,£11.80,£11.80,£0.00,5,0.08%,All
164,Ginger Ale,Soft Drinks,DRINKS MENU,3,£8.85,£8.85,£0.00,2,0.06%,All
165,Fanta,Soft Drinks,DRINKS MENU,8,£23.60,£23.60,£0.00,8,0.16%,All
166,Sprite,Soft Drinks,DRINKS MENU,4,£11.53,£11.53,£0.00,4,0.08%,All
167,Tango Orange,Soft Drinks,DRINKS MENU,4,£11.80,£11.80,£0.00,2,0.08%,All
168,Orange Juice,Soft Drinks,DRINKS MENU,5,£14.75,£14.75,£0.00,5,0.10%,All
169,Apple Juice,Soft Drinks,DRINKS MENU,19,£56.05,£56.05,£0.00,13,0.39%,All
170,J20,Soft Drinks,DRINKS MENU,26,£76.14,£76.14,£0.00,21,0.53%,All
171,Rio Tropical,Soft Drinks,DRINKS MENU,13,£38.35,£38.35,£0.00,9,0.27%,All
172,San Pellegrino,Soft Drinks,DRINKS MENU,13,£38.08,£38.08,£0.00,10,0.27%,All
173,Mineral Water 500ml,Soft Drinks,DRINKS MENU,15,£51.35,£51.35,£0.00,14,0.36%,All
174,Red Bull (250ml),Soft Drinks,DRINKS MENU,1,£3.45,£3.45,£0.00,1,0.02%,All
175,Espresso,Hot Drinks,DRINKS MENU,5,£11.50,£11.50,£0.00,3,0.08%,All
176,Americano,Hot Drinks,DRINKS MENU,18,£61.25,£61.25,£0.00,11,0.43%,All
177,Latte,Hot Drinks,DRINKS MENU,17,£66.85,£66.85,£0.00,10,0.47%,All
